# Dipole correlation
# Timestep Number-of-time-windows
# Index TimeDelta Ncount v_dipole_x*v_dipole_x v_dipole_x*v_dipole_y v_dipole_x*v_dipole_z v_dipole_y*v_dipole_y v_dipole_y*v_dipole_z v_dipole_z*v_dipole_z
10000 10
10 90 182 6.13668e-07 -6.49513e-07 -7.39111e-06 1.83528e-06 -5.26223e-06 3.53292e-05
12000 10
1 0 201 9.25415e-06 -9.83538e-07 -2.20314e-05 2.49654e-05 -1.02374e-05 0.000926477
2 10 200 8.80132e-07 -1.28378e-06 -8.26772e-06 -2.80155e-06 1.93889e-05 -0.000233889
3 20 199 1.2873e-06 3.75788e-07 -7.00417e-06 2.17513e-06 -1.28622e-05 -3.93763e-05
4 30 198 -8.39067e-07 5.06776e-07 4.09477e-06 5.40879e-08 -1.73073e-05 -5.37325e-05
5 40 197 -1.93178e-06 4.59295e-07 1.14263e-05 -2.15486e-06 1.30165e-05 -9.24358e-05
6 50 196 -1.63781e-06 1.23281e-06 3.72753e-06 -8.97889e-07 -4.25491e-06 9.90652e-05
7 60 195 1.25122e-06 -7.04825e-07 -5.2707e-06 -6.92842e-07 1.02859e-05 -3.41827e-05
8 70 194 4.21995e-07 1.03006e-06 -1.81399e-06 -7.79064e-07 3.98569e-06 -5.0847e-05
9 80 193 2.27629e-06 -1.01068e-06 -1.03198e-06 5.55701e-07 9.54669e-06 3.58257e-06
10 90 192 6.2599e-07 -6.40692e-07 -7.94847e-06 1.66386e-06 -6.83458e-06 1.90906e-05
12100 10
1 0 211 9.26026e-06 -5.04662e-07 -2.1589e-05 2.46892e-05 -8.83557e-06 0.000925827
2 10 210 1.02961e-06 -1.2205e-06 -7.92657e-06 -2.66366e-06 1.70688e-05 -0.000226649
3 20 209 1.27972e-06 4.39963e-07 -7.47141e-06 2.03545e-06 -1.33647e-05 -2.77324e-05
4 30 208 -8.98535e-07 5.6591e-07 4.28578e-06 2.34754e-07 -1.65624e-05 -2.34064e-05
5 40 207 -1.98019e-06 4.15313e-07 1.0782e-05 -1.9353e-06 1.2069e-05 -0.00011082
6 50 206 -1.67929e-06 9.63369e-07 2.04976e-06 -7.8317e-07 -4.02287e-06 0.000130138
7 60 205 1.26419e-06 -6.47515e-07 -5.60049e-06 -8.1362e-07 9.44709e-06 -3.25809e-05
8 70 204 6.03535e-07 1.19882e-06 -1.32737e-06 -6.63412e-07 3.77294e-06 -5.10879e-05
9 80 203 2.30485e-06 -8.55776e-07 -9.6641e-07 6.0369e-07 9.92974e-06 3.25232e-05
10 90 202 6.65046e-07 -4.70327e-07 -6.28095e-06 1.58376e-06 -9.77222e-06 -6.01637e-06
12200 10
1 0 221 1.02081e-05 9.19744e-07 -2.61126e-05 2.56412e-05 -1.30127e-05 0.000947682
2 10 220 3.32042e-07 -1.86207e-06 -6.9656e-06 -3.30894e-06 1.42375e-05 -0.000235598
3 20 219 1.4678e-06 9.30639e-07 -3.4283e-06 2.84933e-06 -8.01813e-06 -4.2594e-05
4 30 218 -2.80303e-07 1.12496e-06 -2.74814e-06 7.86817e-07 -2.2014e-05 5.85653e-06
5 40 217 -2.12652e-06 5.24633e-07 1.15753e-05 -1.44396e-06 1.00247e-05 -0.000124558
6 50 216 -1.15226e-06 1.42494e-06 2.04295e-06 -1.67165e-07 -3.55366e-06 0.000120991
7 60 215 1.06423e-06 -5.43572e-07 -8.50075e-06 -1.18427e-06 7.81228e-06 3.93188e-07
8 70 214 9.974e-07 1.60529e-06 -2.12779e-06 7.7971e-07 5.88361e-07 -5.79944e-05
9 80 213 1.96555e-06 -1.22382e-06 -7.0706e-07 1.959e-07 8.10797e-06 4.17408e-05
10 90 212 5.35763e-07 -3.99438e-07 -3.44559e-06 1.62148e-06 -4.84227e-06 -7.81563e-08
12300 10
1 0 231 1.50892e-05 -1.5974e-06 -2.38355e-05 2.57173e-05 -1.31354e-05 0.000954749
2 10 230 -2.88375e-06 -1.18828e-07 -9.48533e-06 -3.97479e-06 1.48604e-05 -0.00022137
3 20 229 4.37029e-06 -6.03262e-07 -3.04399e-06 3.42485e-06 -7.72319e-06 -7.57875e-05
4 30 228 -2.2962e-06 2.09916e-06 8.60394e-07 2.20975e-07 -2.04725e-05 8.71657e-07
5 40 227 6.64221e-07 -7.91286e-07 1.16701e-05 -9.15837e-07 6.12352e-06 -8.74838e-05
6 50 226 -3.37041e-06 2.40772e-06 2.47382e-06 -3.42476e-07 -1.44599e-06 0.000103333
7 60 225 4.02916e-06 -1.98456e-06 -8.37989e-06 -1.02616e-06 1.12005e-05 -2.56902e-05
8 70 224 -1.2661e-06 2.66195e-06 -3.34366e-06 4.71953e-07 -4.97797e-06 -4.10766e-05
9 80 223 2.59811e-06 -1.59758e-06 2.48356e-06 5.34641e-07 1.12936e-05 5.70676e-05
