# Time-averaged data for fix CPR
# TimeStep c_VIR[1] c_VIR[2] c_VIR[3] c_VIR[4] c_VIR[5] c_VIR[6]
209 6481.41 3832.84 34548.7 5597.05 -9237.88 28.6873
210 6419.66 3910.24 31048.4 7288.55 -8026.54 1547.02
211 7308.87 3512.31 27567 9188.9 -5688.44 2723.63
212 8370.08 3521.39 24619.7 12158.5 -3305.77 2383.4
213 9155.08 4589.44 22227.5 15652 -1539.45 551.003
214 9453.19 6382.15 20097.6 18175 -276.597 -2017.02
215 9110.18 8340.05 17912.9 18321.5 918.269 -4469.42
216 8364.15 9937.44 15764.6 15528.2 2477.96 -6249.66
217 7520.48 10715.5 14003.7 10710.8 4257.36 -7188.87
218 6701.26 10227.8 12890.7 5301.02 5760.77 -7682.13
219 5707.02 8391.63 12287.6 1.47577 6360.16 -8224.99
220 4593.91 5369.66 12168.8 -4999.22 5710.69 -9065.09
221 3616.88 1840.3 12622.2 -9265.67 4037.78 -9606.38
222 2827.24 -1329.28 12876.3 -11733.1 2035.51 -9214.78
223 2258.6 -3673.92 11864.3 -11897.9 268.562 -8072.56
224 2082.05 -4636.66 9705.21 -10413.3 -969.516 -7109.68
225 2120.74 -4291.97 8083.23 -8074.09 -1528.53 -7212.35
226 2112.78 -3503.2 8450.48 -5344.37 -1383.69 -7835.48
227 2210.03 -3169.76 10335.5 -2645.41 -322.253 -7982.36
228 2623.81 -3496.63 12590.9 -428.727 1843.86 -7372.71
229 3396.81 -4279.24 14034.6 1037.81 4737.3 -5988.43
230 5139.91 -5223.74 13867.2 2250.1 7441.78 -4037.55
231 8483.4 -5826.53 12024.1 4122.42 8990.78 -2614.46
232 12231.8 -5179.1 9878.22 6455.18 9714.18 -2538.53
233 13618.1 -2602.41 8322.2 7795.63 10294.4 -2567.11
234 12241.1 2023.68 7367.24 7612.18 10054.6 -1081.76
235 10778.9 8781.31 8992.92 5659.13 8907.91 3172.28
236 12357.5 16675 14808.1 1801.77 6657.43 10200.3
237 17298.1 22102.9 20662.3 -3997.65 192.599 17005.5
238 20857.7 24688.9 23443.4 -9384.56 -6683.47 21504.8
239 17985.7 24629.7 22077.3 -12201.8 -9206.01 22462.2
240 10471.8 20352.5 16538.1 -13347 -10790.8 19333.4
241 2382.4 13839.5 9898.89 -13486.7 -12663.3 14121.5
242 -3650.82 8054.89 5290.8 -13085.8 -13627.2 9528.95
243 -8562.32 4321.38 3590.12 -10325.9 -9418.03 7185.78
244 -10268.3 1310.26 4755.31 -4092.58 41.4452 7296.42
245 -7158.96 -2364.14 6676.4 3064.89 8802.5 8104.09
246 -3380.24 -3955.03 8036.99 8732.67 14377.2 7218.33
247 -959.613 -3510.46 8896.85 11909.4 16866.7 5037.45
248 305.928 -3284.45 9494.04 13459.6 17880.5 3391.39
249 617.589 -4294.64 9969.54 13653.2 18104 2907.99
250 -234.948 -6383.92 10442.6 12189.9 17360.8 3458.56
251 -2902.38 -8059.92 11098.6 8228.11 14433.8 4216.52
252 -6542.88 -7738.7 11634.3 3096.08 9352.51 4651.37
253 -8574.95 -5608.27 11429.6 -91.7606 4355.6 5439.71
254 -8594.94 -2574.23 10762.7 -769.346 696.286 6529.91
255 -7425.37 -133.125 10790.6 84.6787 -1048.2 7352.63
256 -5701.53 796.868 11689.5 1496.93 -1029.95 7126.18
257 -3874.12 413.769 12878.6 2565 -401.883 5468.28
258 -2186.69 -177.102 13998.4 2895.57 -557.623 2784.2
259 -478.802 219.53 15362 2322.8 -2115.6 -65.1458
260 2028.29 1185.12 16588.5 855.624 -3662.58 -2310.53
261 5162.43 1781.32 17194.3 -1094.94 -3950.59 -3511.29
262 8035.37 2314.16 17538.1 -2907.34 -3351.87 -3948.86
263 10040.3 3202.86 18123.6 -4041.58 -2072.55 -4554.48
264 10652.4 4366.44 18721.8 -4164.79 51.458 -5912.18
265 9620.56 5824.59 19216.6 -3341.02 3029.07 -7930.74
266 6831.21 7910.15 19822.7 -1920.3 6500.53 -9961.09
267 2998.95 11942.7 20908.2 -193.292 9577.79 -12192.3
268 254.537 18814 22514.6 1455.72 10948.4 -15727.4
269 894.195 25343.3 23599.2 2205.76 9850.49 -18710.9
270 5951.06 27487.4 23701.9 694.927 6928.47 -17836.1
271 14248.7 26538.2 24517 -3329.91 3739.56 -13383
272 20832.2 23502.3 24939.3 -7709.85 773.297 -6769.52
273 23572.4 20769.1 24313.9 -10966.9 -1623.28 -1393.25
274 23213.5 18747.1 23544.6 -12405.5 -2928.07 810.081
275 21634.4 16932.2 23254.8 -11586.5 -3169.71 -537.235
276 20958.6 15473.7 22779.4 -8782.82 -2619.06 -4413.94
277 22269.5 14577.1 21728.9 -4910.59 -1417.92 -8333.92
278 24854.6 13782.9 21666.6 -1491.07 181.68 -10082
279 27156.1 12911.4 24223.2 709.873 923.228 -10090.7
280 28419.9 12339.2 29552.6 1879.56 166.46 -9874.99
281 28157.3 11439.3 36104.4 2303.29 -522.247 -9259.94
282 24716.9 8329.01 40040.1 2812.28 646.097 -7125.58
283 17446.7 3317.45 39022.4 4364.22 3019.26 -3690.7
284 11175.1 1702.08 37388.9 5303.89 4993.02 -1075
285 6520.06 4118.53 36442.7 5183.85 5806.18 1299.66
286 1844.39 7983.88 34443.8 4940.53 5721.41 4983.94
287 -1734.71 11578.8 31494.7 4737.83 5663.37 10056
288 -3036.7 13591.6 28130 4200.07 6514.54 15473
289 -2698.62 13606.3 24820.2 3022.47 8706.02 20514.1
290 -2095.88 12568.9 21713.5 813.606 11027.4 24327.8
291 -1499.23 11644.9 17617.3 -3119.75 10395 25181.2
292 977.703 12147.6 11293.9 -8602.84 4636.03 20835.4
293 3804.07 15053 5776.72 -12893.3 -2652.34 15348.6
294 4260.29 19513.6 2657.73 -13958.2 -7246.04 11579.2
295 3539.24 23935.2 1366.92 -12126.8 -8512.59 6777.63
296 2547.23 27030.4 2103.21 -8909.17 -7364.61 1536.49
297 1652.33 27801.2 4369.07 -5309.63 -6105.48 -1569.05
298 881.882 25620.9 7249.68 -1778.75 -6441.97 -1416.68
299 259.593 20469.8 10241.9 1099.25 -7989.52 1220.3
300 287.203 13584.9 13061.7 2690.58 -9611.65 4826.74
301 1243.5 7223.3 14587 3205.02 -10603.8 8078.32
302 2787.59 2757.75 14033 2983.83 -10291.9 11008
303 3772.32 576.623 12304.1 2162.29 -8355.34 13083.8
304 4135.92 509.992 10994.3 2152.02 -5659.83 12977.2
305 5059.61 2603.84 10349.2 5754.99 -3965.74 10663.5
306 6649.46 5692.19 10154.3 12927 -3742.89 8175.18
307 8053.45 6351.19 11096.3 17839.1 -3428.4 8996.78
308 8629.94 3850.05 13681.6 16554.9 -1301.63 12499.9
309 8718.17 445.63 18192.5 11198.6 4183.81 14044.6
310 9306.61 -1089.9 23912.5 6910.02 13429.5 9832.63
311 10815.4 -1046.99 28693.1 4669.36 23375 3113.04
312 11660.1 -137.763 29754.3 3576.19 27556.8 -1959.63
313 10534.5 1241.89 25870.6 3357.09 23764.4 -4850.06
314 8449.91 2463.29 18300.3 4095.54 16170.1 -6852.71
315 6471.9 3098.04 10447.8 5046.7 11113.5 -9813.86
316 4681.38 3452.51 4580.74 4569.53 9609.71 -13880.6
317 3532.03 3167.55 513.608 1776.98 10516.8 -16494.8
318 3042.58 1726.56 -2282.64 -1642.9 12946.5 -15048.9
319 2857.68 -685.309 -4163.29 -2676 15212.2 -8748.72
320 2652.53 -2844.6 -5247.67 -543.62 15283.1 -951.289
321 1589.65 -3928.64 -5073.15 3284.35 13883 4075.57
322 -817.921 -3641.14 -3219.78 6698.19 13472.2 5044.49
323 -4508.18 -1978.92 427.8 8240.06 14428.1 2825.93
324 -8603.08 372.626 4927.42 7954.51 15262.1 66.3916
325 -12192.5 1742.07 9674.3 6935.6 14922.8 -1389.83
