# Time-averaged data for fix myRDF
# TimeStep Number-of-rows
# Row c_rdf1[1] c_rdf1[2] c_rdf1[3]
100 100
26 2.55 0.983019 5.312
27 2.65 1.43363 6.45314
28 2.75 1.36468 7.62286
29 2.85 1.06756 8.60571
30 2.95 0.884588 9.47829
31 3.05 0.920185 10.4486
32 3.15 0.957719 11.5257
33 3.25 0.952224 12.6657
34 3.35 0.904341 13.816
35 3.45 0.930261 15.0709
36 3.55 0.896501 16.3514
37 3.65 0.945264 17.7789
38 3.75 0.981252 19.3429
39 3.85 1.00374 21.0291
40 3.95 1.06924 22.92
41 4.05 1.04201 24.8571
42 4.15 1.09865 27.0017
43 4.25 1.14916 29.3543
44 4.35 1.09641 31.7057
45 4.45 1.05304 34.0691
46 4.55 1.01185 36.4434
47 4.65 1.022 38.948
48 4.75 1.05451 41.6446
49 4.85 1.00783 44.3314
50 4.95 1.02534 47.1789
51 5.05 1.05649 50.2326
52 5.15 1.05942 53.4171
53 5.25 0.999491 56.5394
54 5.35 0.995937 59.7703
55 5.45 0.952089 62.9754
56 5.55 0.957051 66.3166
57 5.65 0.988075 69.8914
58 5.75 0.946084 73.4366
59 5.85 0.972338 77.208
60 5.95 0.94604 81.004
61 6.05 0.938443 84.8971
62 6.15 0.98743 89.1297
63 6.25 0.992444 93.5234
64 6.35 0.959635 97.9091
65 6.45 0.970612 102.486
66 6.55 1.00071 107.351
67 6.65 0.992908 112.328
68 6.75 1.0135 117.562
69 6.85 0.979961 122.773
70 6.95 0.978896 128.132
71 7.05 0.995228 133.738
72 7.15 1.00181 139.543
73 7.25 1.03106 145.685
74 7.35 1.02757 151.977
75 7.45 1.01441 158.358
76 7.55 1.02338 164.969
77 7.65 1.02918 171.795
78 7.75 1.04902 178.937
79 7.85 1.01988 186.059
80 7.95 0.996465 193.197
81 8.05 1.01494 200.651
82 8.15 0.992017 208.119
83 8.25 1.0044 215.867
84 8.35 1.01015 223.85
85 8.45 1.02728 232.163
86 8.55 0.99835 240.434
87 8.65 0.980586 248.75
88 8.75 0.996429 257.396
89 8.85 1.02443 266.49
90 8.95 0.99676 275.539
91 9.05 0.995947 284.783
92 9.15 0.989915 294.177
93 9.25 0.992451 303.801
94 9.35 1.01948 313.902
95 9.45 1.00118 324.035
96 9.55 0.977126 334.135
97 9.65 0.985677 344.538
98 9.75 0.977748 355.072
99 9.85 1.00061 366.075
100 9.95 1.00405 377.341
800 100
1 0.05 0 0
2 0.15 0 0
3 0.25 0 0
4 0.35 0 0
5 0.45 0 0
6 0.55 0 0
7 0.65 0 0
8 0.75 0 0
9 0.85 0 0
10 0.95 0 0
11 1.05 0.192628 0.024
12 1.15 3.5105 0.548571
13 1.25 0.433793 0.625143
14 1.35 0.066617 0.638857
15 1.45 0.062576 0.653714
16 1.55 1.44868 1.04686
17 1.65 2.09609 1.69143
18 1.75 1.12007 2.07886
19 1.85 1.11016 2.508
20 1.95 1.5115 3.15714
21 2.05 0.505652 3.39714
22 2.15 0.223267 3.51371
23 2.25 0.367753 3.724
24 2.35 0.569859 4.07943
25 2.45 0.736812 4.57886
26 2.55 0.992905 5.308
27 2.65 1.40862 6.42514
28 2.75 1.3034 7.53829
29 2.85 1.08022 8.52914
30 2.95 0.966991 9.47943
31 3.05 0.926413 10.4526
32 3.15 0.916409 11.4794
33 3.25 0.935129 12.5949
34 3.35 0.965335 13.8183
35 3.45 0.951468 15.0971
36 3.55 0.884569 16.356
37 3.65 0.946934 17.7806
