# Time-averaged data for fix myMSD
# TimeStep c_msd1[1] c_msd1[2] c_msd1[3] c_msd1[4] c_thermo_temp
40700 0.428983 0.357676 0.42843 1.21509 636.116
40800 0.424703 0.386053 0.463592 1.27435 654.146
40900 0.396265 0.41901 0.464491 1.27977 685.371
41000 0.408757 0.488249 0.490078 1.38708 661.77
41100 0.447101 0.505881 0.503517 1.4565 656.924
41200 0.48517 0.523179 0.508619 1.51697 660.252
41300 0.478527 0.490916 0.489028 1.45847 658.108
41400 0.48708 0.50768 0.479149 1.47391 642.795
41500 0.480678 0.551247 0.456964 1.48889 634.267
41600 0.441037 0.520443 0.4178 1.37928 644.002
41700 0.382814 0.491308 0.389172 1.26329 660.899
41800 0.38304 0.462479 0.390847 1.23637 679.496
41900 0.419607 0.457485 0.403155 1.28025 659.693
42000 0.407542 0.429506 0.411751 1.2488 678.601
42100 0.395089 0.472912 0.409842 1.27784 675.647
42200 0.385977 0.492388 0.434836 1.3132 671.613
42300 0.368969 0.457008 0.456683 1.28266 647.938
42400 0.382387 0.414701 0.447033 1.24412 646.679
42500 0.394703 0.415983 0.400096 1.21078 692.63
42600 0.387898 0.408327 0.422489 1.21871 690.781
42700 0.399479 0.427452 0.448792 1.27572 668.906
42800 0.479684 0.504682 0.453341 1.43771 663.066
42900 0.50189 0.514169 0.422081 1.43814 652.657
43000 0.452984 0.504243 0.416903 1.37413 655.705
43100 0.438283 0.503171 0.431609 1.37306 671.612
43200 0.424987 0.489069 0.441439 1.3555 711.33
43300 0.397685 0.442522 0.429433 1.26964 692.757
43400 0.435288 0.446165 0.447836 1.32929 680.487
43500 0.449223 0.463245 0.48052 1.39299 662.273
43600 0.455934 0.475447 0.498921 1.4303 690.881
43700 0.48474 0.49621 0.502847 1.4838 719.768
43800 0.509028 0.499751 0.538982 1.54776 693.187
43900 0.517327 0.518192 0.528508 1.56403 681.89
44000 0.526761 0.538975 0.509088 1.57482 670.615
44100 0.576381 0.55717 0.512961 1.64651 683.034
44200 0.578946 0.620065 0.510461 1.70947 723.603
44300 0.558597 0.616282 0.51049 1.68537 717.969
44400 0.543406 0.574136 0.493903 1.61144 688.971
44500 0.4975 0.538361 0.473429 1.50929 693.012
44600 0.49374 0.512644 0.460162 1.46655 693.887
44700 0.484238 0.521401 0.480146 1.48579 641.949
44800 0.477538 0.516725 0.507635 1.5019 676.162
44900 0.478515 0.491912 0.505647 1.47607 692.405
45000 0.486048 0.489466 0.520051 1.49556 682.539
45100 0.45927 0.499942 0.525959 1.48517 688.823
45200 0.462873 0.514594 0.487906 1.46537 724.156
45300 0.465424 0.532414 0.447174 1.44501 713.585
45400 0.445315 0.518822 0.421534 1.38567 675.875
45500 0.431312 0.486366 0.393773 1.31145 672.351
45600 0.437267 0.496139 0.399598 1.333 673.677
45700 0.400139 0.467525 0.393959 1.26162 711.98
45800 0.364691 0.468071 0.407556 1.24032 694.364
45900 0.377154 0.482584 0.428023 1.28776 716.672
46000 0.388291 0.506556 0.411868 1.30672 745.192
46100 0.386699 0.522258 0.445643 1.3546 750.887
46200 0.39224 0.50635 0.474814 1.3734 723.37
46300 0.430089 0.515907 0.510267 1.45626 702.039
46400 0.448837 0.518006 0.524007 1.49085 689.678
46500 0.463637 0.526506 0.502252 1.49239 729.568
46600 0.465571 0.517639 0.476363 1.45957 720.608
46700 0.481739 0.50066 0.443467 1.42587 730.971
46800 0.478491 0.530753 0.462499 1.47174 774.865
46900 0.477495 0.526692 0.503649 1.50784 756.761
47000 0.483206 0.548494 0.523411 1.55511 727.271
47100 0.496257 0.544862 0.52286 1.56398 722.059
47200 0.508475 0.563014 0.537202 1.60869 721.153
47300 0.53272 0.57527 0.5582 1.66619 693.941
47400 0.515274 0.593987 0.555387 1.66465 686.634
47500 0.497141 0.567762 0.546254 1.61116 709.922
47600 0.494783 0.553655 0.54443 1.59287 740.907
47700 0.505911 0.51487 0.548211 1.56899 749.021
47800 0.522356 0.543723 0.54954 1.61562 740.89
47900 0.518211 0.557956 0.539758 1.61593 708.374
48000 0.489699 0.575122 0.550175 1.615 682.15
48100 0.491919 0.588907 0.569375 1.6502 717.648
48200 0.493466 0.584623 0.550421 1.62851 737.149
48300 0.466562 0.595806 0.534953 1.59732 739.233
48400 0.471611 0.575808 0.493924 1.54134 753.558
48500 0.492995 0.578539 0.520545 1.59208 772.721
48600 0.483149 0.554428 0.508945 1.54652 783.949
48700 0.509242 0.561101 0.554089 1.62443 727.805
48800 0.503626 0.571108 0.580685 1.65542 715.063
48900 0.54522 0.601168 0.616583 1.76297 745.021
49000 0.577433 0.63286 0.646663 1.85696 760.95
49100 0.548692 0.632527 0.60967 1.79089 783.52
49200 0.54396 0.581297 0.562612 1.68787 745.186
49300 0.532154 0.548335 0.536438 1.61693 732.424
49400 0.509858 0.592073 0.514825 1.61676 726.651
49500 0.488713 0.583588 0.490983 1.56328 722.968
49600 0.485827 0.569227 0.499963 1.55502 759.583
49700 0.509219 0.579141 0.502529 1.59089 776.93
49800 0.500824 0.547127 0.498633 1.54658 752.566
49900 0.480511 0.510322 0.503805 1.49464 744.617
