# Time-averaged data for fix avborn
# TimeStep c_born[1] c_born[2] c_born[3] c_born[4] c_born[5] c_born[6] c_born[7] c_born[8] c_born[9] c_born[10] c_born[11] c_born[12] c_born[13] c_born[14] c_born[15] c_born[16] c_born[17] c_born[18] c_born[19] c_born[20] c_born[21]
13000 371387 367780 159268 569034 575508 237337 -107295 95986.5 128266 -1346.09 -2622.58 96245.8 -128521 -1530.75 3411.35 -753.971 -977.721 -330.407 3968.46 -5070.71 129681
13100 371809 367708 159261 568635 576122 237475 -107429 96034.4 128262 -1142.92 -2748.05 96192.9 -128222 -1815.4 3635.97 -654.972 -1012.11 -276.509 4237.72 -5564.8 130135
13200 371911 367570 159269 568418 576004 237584 -107375 96067.5 128057 -1162.72 -2836.51 96153.9 -127694 -1910.41 3590.81 -495.13 -986.464 -240.672 4225.4 -5739.61 130460
13300 371676 367459 159284 568506 575860 237705 -107146 96104.7 127967 -1280.42 -2736.74 96157.9 -127397 -1554.92 3554.76 -379.968 -927.869 -229.699 4297.76 -5086.63 130634
13400 371776 367610 159265 568784 575739 237685 -107302 96024.1 128074 -1475.47 -2731.75 96161.6 -127328 -1244.07 3723.96 -290.576 -879.912 -149.761 4653.25 -4574.76 130718
13500 371994 367732 159299 568886 575990 237800 -107381 96043.3 128052 -2322.2 -2839.57 96192.6 -127268 -452.736 3930.31 -303.319 -808.395 -79.7334 4801.2 -3862.39 130841
13600 372171 367922 159382 569433 576153 238093 -107469 96055.9 128072 -2617.84 -2830.45 96266.5 -127214 -123.07 3974.2 -303.636 -808.264 -97.3584 4923.64 -3690.58 130778
13700 372021 367894 159369 569460 576020 238132 -107409 95998.8 128164 -2988.8 -2576.89 96286.4 -127348 447.808 3596.75 -364.542 -741.214 -144.756 4448.29 -2996.27 130741
13800 371793 367660 159377 569527 576092 238293 -107179 95999.3 128081 -3242.56 -2327.52 96277.4 -127150 880.526 3235.26 -319.258 -646.327 -157.23 4130.75 -2241.19 130863
13900 371485 367528 159397 569355 575938 238243 -106991 96041 127960 -3169.69 -2188.05 96295.4 -126845 1001 3052.23 -217.598 -566.254 -173.348 3894.15 -1819.46 130980
14000 371274 367434 159426 569155 575756 238296 -106858 96055.9 127775 -3223.94 -2172.06 96268.4 -126379 1030.2 2991.18 1.79514 -572.984 -179.974 3591.42 -1784.1 131223
14100 370947 367064 159446 568912 575159 238302 -106515 96069.4 127678 -3130.66 -2118.6 96265 -126052 1053.29 2971.8 86.7018 -485.947 -185.518 3489.85 -1562.27 131414
14200 370842 367006 159484 568842 575180 238324 -106416 96066.4 127424 -2440.87 -1839.19 96299.8 -125521 564.107 2606.91 173.607 -389.858 -222.508 3117.23 -1809.49 131680
