# Time-averaged data for fix myMSD
# TimeStep MSD_X MSD_Y MSD_Z MSD_Total PotE Temperture
38400 1.54072 1.29878 1.04232 3.88182 -36150.3 676.279
38500 1.53287 1.34502 1.10478 3.98267 -36167.9 691.364
38600 1.46901 1.38055 1.12568 3.97524 -36160.2 681.667
38700 1.47181 1.40601 1.10831 3.98613 -36184.1 698.654
38800 1.50213 1.42396 1.09563 4.02173 -36157 673.85
38900 1.4975 1.46161 1.12919 4.0883 -36169.2 684.82
39000 1.55163 1.49919 1.14389 4.19471 -36178.6 692.028
39100 1.51076 1.48949 1.14496 4.14521 -36168.1 688.565
39200 1.45691 1.45171 1.13994 4.04856 -36190.3 704.615
39300 1.48424 1.40599 1.10539 3.99562 -36160.3 680.275
39400 1.46299 1.44943 1.1294 4.04182 -36180.9 701.185
39500 1.42536 1.54286 1.10412 4.07235 -36169.7 690.34
39600 1.41079 1.5919 1.03028 4.03297 -36164.6 692.182
39700 1.37399 1.58464 1.0486 4.00722 -36163.4 691.811
39800 1.36866 1.5688 1.05872 3.99618 -36156.6 694.846
39900 1.36827 1.43729 1.10773 3.91329 -36158.4 696.886
40000 1.35678 1.30581 1.11849 3.78108 -36156.9 695.542
40100 1.28198 1.26748 1.15602 3.70549 -36143.2 686.895
40200 1.30378 1.26944 1.13332 3.70653 -36141.7 697.426
40300 1.33029 1.2221 1.03994 3.59233 -36141.3 697.858
40400 1.23332 1.22662 1.02725 3.48719 -36136.1 703.001
40500 1.21592 1.19817 1.09073 3.50482 -36126.2 702.094
40600 1.25566 1.21474 1.13739 3.60778 -36131.8 702.001
40700 1.25149 1.22557 1.1444 3.62146 -36147.8 718.615
40800 1.24181 1.26452 1.06607 3.5724 -36153.8 715.671
40900 1.29777 1.31468 1.08997 3.70243 -36128.4 694.639
41000 1.37281 1.3443 1.1141 3.83121 -36117.4 697.597
41100 1.40442 1.40951 1.08779 3.90171 -36154 726.875
41200 1.46774 1.39775 1.1673 4.03279 -36144.6 710.201
41300 1.41687 1.38197 1.17822 3.97706 -36145.9 713.46
41400 1.39535 1.35535 1.08539 3.8361 -36146.8 711.263
41500 1.45296 1.35738 1.05708 3.86742 -36153.9 719.358
41600 1.54739 1.43535 1.02981 4.01255 -36165.9 728.643
41700 1.53199 1.53575 0.946292 4.01403 -36163 718.339
41800 1.45557 1.48286 0.963064 3.9015 -36141.8 705.522
